BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,ALE,SOUR ALE,Lambickx,Vanberg & DeWulf,5.75%,7,New York
ALE,ALE,SOUR ALE,Oarsman,Bell's,4%,10,Michigan
ALE,SOUR ALE,BERLINER WEISSE,Thumbprint Berliner Weiss,New Glarus,4%,6,Wisconsin
ALE,SOUR ALE,BERLINER WEISSE,Festine Peche,Dogfish Head,4.50%,8,Delaware
ALE,SOUR ALE,BERLINER WEISSE,Oarsman,Bell's,4%,10,Michigan
ALE,GERMAN ALE,BERLINER WEISSE,Thumbprint Berliner Weiss,New Glarus,4%,6,Wisconsin
ALE,GERMAN ALE,BERLINER WEISSE,Festine Peche,Dogfish Head,4.50%,8,Delaware
ALE,GERMAN ALE,BERLINER WEISSE,Oarsman,Bell's,4%,10,Michigan
ALE,SOUR ALE,FLANDERS RED ALE,Red Poppy Ale,The Lost Abbey,6.50%,18,California
ALE,SOUR ALE,FLANDERS RED ALE,Grand Cru,Brouwerij Rodenbach,6%,35,Belgium
ALE,SOUR ALE,FLANDERS RED ALE,Bird of Prey,Driftwood,7.50%,25,Canada
ALE,SOUR ALE,FLANDERS BROWN ALE/OUD BRUIN,Thumbprint Enigma,New Glarus,5.50%,21,Wisconsin
ALE,SOUR ALE,FLANDERS BROWN ALE/OUD BRUIN,Monk's Cafe Flemish Sour Ale,Brouwerij van Steenberge,5.50%,25,Belgium
ALE,SOUR ALE,FLANDERS BROWN ALE/OUD BRUIN,Petrus Aged Pale,De Brabandere,7.30%,6,Belgium
ALE,SOUR ALE,LAMBIC,Lambic,Rivertown,6%,10,Ohio
ALE,SOUR ALE,LAMBIC,Lambickx,Vanberg & DeWulf,5.75%,7,New York
ALE,SOUR ALE,LAMBIC,Iris,Brasserie Cantillon,5%,5,Belgium
ALE,BELGIAN ALE,LAMBIC,Lambic,Rivertown,6%,10,Ohio
ALE,BELGIAN ALE,LAMBIC,Lambickx,Vanberg & DeWulf,5.75%,7,New York
ALE,BELGIAN ALE,LAMBIC,Iris,Brasserie Cantillon,5%,5,Belgium
ALE,SOUR ALE,GUEZE,Lindemans Gueuze Cuvee Rene,Brouwerij Lindemans,5.50%,18,Belgium
ALE,SOUR ALE,GUEZE,Rueuze,The Bruery,5.60%,20,California
ALE,SOUR ALE,GUEZE,Coolship Resurgam,Allagash,6%,26,Maine
ALE,SOUR ALE,GOSE,Golden Gate Gose,Almanac,5%,8,California
ALE,SOUR ALE,GOSE,Troublesome,Off Color,4.30%,6,Illinois
ALE,SOUR ALE,GOSE,Gose,Westbrook,4%,5,South Carolina
ALE,GERMAN ALE,GOSE,Golden Gate Gose,Almanac,5%,8,California
ALE,GERMAN ALE,GOSE,Troublesome,Off Color,4.30%,6,Illinois
ALE,GERMAN ALE,GOSE,Gose,Westbrook,4%,5,South Carolina
ALE,BELGIAN ALE,GUEZE,Lindemans Gueuze Cuvee Rene,Brouwerij Lindemans,5.50%,18,Belgium
ALE,BELGIAN ALE,GUEZE,Rueuze,The Bruery,5.60%,20,California
ALE,BELGIAN ALE,GUEZE,Coolship Resurgam,Allagash,6%,26,Maine
ALE,BELGIAN ALE,FRUIT LAMBIC,Oude Kriek Vieille,Brouwerij Oud Beersel,6.50%,8,Belgium
ALE,BELGIAN ALE,FRUIT LAMBIC,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,5%,5,Belgium
ALE,BELGIAN ALE,FRUIT LAMBIC,Lindemans Framboise,Brouwerij Lindemans,2.50%,2,Belgium
ALE,ALE,FRUIT ALE,Purple Haze,Abita,4.20%,13,Louisiana
ALE,ALE,FRUIT ALE,#9,Magic Hat,5.10%,20,Vermont
ALE,ALE,FRUIT ALE,Blue,Sweetwater,4.90%,7,Georgia
ALE,FRUIT ALE,FRUIT LAMBIC,Oude Kriek Vieille,Brouwerij Oud Beersel,6.50%,8,Belgium
ALE,FRUIT ALE,FRUIT LAMBIC,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,5%,5,Belgium
ALE,FRUIT ALE,FRUIT LAMBIC,Lindemans Framboise,Brouwerij Lindemans,2.50%,2,Belgium
ALE,BELGIAN ALE,BELGIAN STRONG ALE,Monk's Blood,21st Amendment,8.30%,34,California
ALE,BELGIAN ALE,BELGIAN STRONG ALE,Maudite,Unibroue,8%,22,Canada
ALE,BELGIAN ALE,BELGIAN STRONG ALE,Raison D'Etre,Dogfish Head,8%,25,Delaware
ALE,BELGIAN STRONG ALE,BELGIAN BLOND ALE,Affligem Blond,Brouwerij de Smedt,6.80%,20,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN BLOND ALE,Hell's Belle,Big Boss,7%,30,North Carolina
ALE,BELGIAN STRONG ALE,BELGIAN BLOND ALE,Spring Blonde,New Belgium,6%,48,Colorado
ALE,BELGIAN STRONG ALE,BELGIAN DUBBEL,Chimay Premiere,Bieres de Chimay,7%,21,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN DUBBEL,Winter Ale,Smuttynose,5.83%,30,New Hampshire
ALE,BELGIAN STRONG ALE,BELGIAN DUBBEL,Abbey Ale,Ommegang,8.20%,22,New York
ALE,BELGIAN STRONG ALE,BELGIAN TRIPEL,Allagash Tripel Ale,Allagash,9%,20,Maine
ALE,BELGIAN STRONG ALE,BELGIAN TRIPEL,Golden Monkey,Victory,9.50%,25,Pennslyvania
ALE,BELGIAN STRONG ALE,BELGIAN TRIPEL,La Fin du Monde,Unibroue,9%,19,Canada
ALE,BELGIAN STRONG ALE,BELGIAN GOLDEN STRONG,La Chouffe,Brasserie d'Achouffe,8%,20,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN GOLDEN STRONG,Delirium Tremens,Brouwerij Huyghe,8.50%,26,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN GOLDEN STRONG,Duvel,Brouwerij Duvel Moortgat,8.50%,32,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN DARK STRONG,Brother Thelonious,North Coast,9.40%,32,California
ALE,BELGIAN STRONG ALE,BELGIAN DARK STRONG,Trois Pistoles,Unibroue,9%,15,Canada
ALE,BELGIAN STRONG ALE,BELGIAN DARK STRONG,Gulden Draak,Brouwerij van Steenberge,10.50%,18,Belgium
ALE,ALE,STRONG ALE,Wilco Tango Foxtrot,Lagunitas,7.83%,64,California
ALE,ALE,STRONG ALE,Arrogant Bastard Ale,Stone,7.20%,41,California
ALE,ALE,STRONG ALE,Quilter's Irish Death,Iron Horse,7.80%,35,Washington
ALE,STRONG ALE,OLD ALE,Christmas Ale,St Arnold,7%,22,Texas
ALE,STRONG ALE,OLD ALE,Hibernation Ale,Great Divide,8.70%,37,Colorado
ALE,STRONG ALE,OLD ALE,Curmudgeon,Founders,9.80%,50,Michigan
ALE,STRONG ALE,ENGLISH BARLEYWINE,Duck-Rabbit Barleywine Ale,Duck-Rabbit,11%,52,North Carolina
ALE,STRONG ALE,ENGLISH BARLEYWINE,Insanity,Weyerbacher,11.10%,55,Pennsylvania
